Company,Industry,Symbol
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC
Rural Electrification Corporation Ltd.,FINANCIAL SERVICES,RECLTD
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN
State Bank of India,FINANCIAL SERVICES,SBIN
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL
Dabur India Ltd.,CONSUMER GOODS,DABUR
Emami Ltd.,CONSUMER GOODS,EMAMILTD
GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,GSKCONS
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR
I T C Ltd.,CONSUMER GOODS,ITC
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD
Marico Ltd.,CONSUMER GOODS,MARICO
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL
United Breweries Ltd.,CONSUMER GOODS,UBL
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N
HCL Technologies Ltd.,IT,HCLTECH
Infosys Ltd.,IT,INFY
Justdial Ltd.,IT,JUSTDIAL
KPIT Technologies Ltd.,IT,KPIT
MindTree Ltd.,IT,MINDTREE
Oracle Financial Services Software Ltd.,IT,OFSS
Tata Consultancy Services Ltd.,IT,TCS
Tata Elxsi Ltd.,IT,TATAELXSI
Tech Mahindra Ltd.,IT,TECHM
Wipro Ltd.,IT,WIPRO
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP
Den Networks Ltd.,MEDIA & ENTERTAINMENT,DEN
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV
Eros Intl Media Ltd.,MEDIA & ENTERTAINMENT,EROSMEDIA
HT Media Ltd.,MEDIA & ENTERTAINMENT,HTMEDIA
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN
Navneet Education Ltd.,MEDIA & ENTERTAINMENT,NAVNETEDUL
Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA
Cadila Healthcare Ltd.,PHARMA,CADILAHC
Cipla Ltd.,PHARMA,CIPLA
Divi's Laboratories Ltd.,PHARMA,DIVISLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK
Lupin Ltd.,PHARMA,LUPIN
Piramal Enterprises Ltd.,PHARMA,PEL
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA
Allahabad Bank,FINANCIAL SERVICES,ALBK
Andhra Bank,FINANCIAL SERVICES,ANDHRABANK
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA
Canara Bank,FINANCIAL SERVICES,CANBK
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI
Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK
Punjab National Bank,FINANCIAL SERVICES,PNB
State Bank of India,FINANCIAL SERVICES,SBIN
Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK
Union Bank of India,FINANCIAL SERVICES,UNIONBANK
